country_region_code,country_region,sub_region_1,sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
IT,Italy,Lombardy,,15/02/2020,2,-1,50,8,-2,-1
IT,Italy,Lombardy,,16/02/2020,-1,2,13,2,0,-1
IT,Italy,Lombardy,,17/02/2020,-3,-2,-14,1,0,0
IT,Italy,Lombardy,,18/02/2020,2,1,32,4,1,0
IT,Italy,Lombardy,,19/02/2020,2,1,19,4,1,-1
IT,Italy,Lombardy,,20/02/2020,2,0,19,4,0,-1
IT,Italy,Lombardy,,21/02/2020,1,1,20,3,0,0
IT,Italy,Lombardy,,22/02/2020,-6,6,37,1,-1,0
IT,Italy,Lombardy,,23/02/2020,-19,30,12,-13,-2,2
IT,Italy,Lombardy,,24/02/2020,-18,27,28,-32,-22,9
IT,Italy,Lombardy,,25/02/2020,-22,3,8,-37,-23,11
IT,Italy,Lombardy,,26/02/2020,-23,-7,-5,-40,-23,11
IT,Italy,Lombardy,,27/02/2020,-19,-7,7,-39,-23,10
IT,Italy,Lombardy,,28/02/2020,-16,-6,32,-37,-24,10
IT,Italy,Lombardy,,29/02/2020,-24,-5,-12,-34,-20,8
IT,Italy,Lombardy,,01/03/2020,-33,-9,-38,-40,-14,7
IT,Italy,Lombardy,,02/03/2020,-26,-18,-53,-44,-20,11
IT,Italy,Lombardy,,03/03/2020,-13,-1,16,-35,-19,9
IT,Italy,Lombardy,,04/03/2020,-14,-1,46,-34,-19,8
IT,Italy,Lombardy,,05/03/2020,-22,-6,-31,-42,-21,11
IT,Italy,Lombardy,,06/03/2020,-20,-2,1,-40,-22,11
IT,Italy,Lombardy,,07/03/2020,-25,-1,54,-31,-19,7
IT,Italy,Lombardy,,08/03/2020,-48,-1,16,-42,-19,8
IT,Italy,Lombardy,,09/03/2020,-42,-9,-35,-57,-31,16
IT,Italy,Lombardy,,10/03/2020,-50,-8,-25,-61,-38,20
IT,Italy,Lombardy,,11/03/2020,-57,-13,-23,-65,-43,22
IT,Italy,Lombardy,,12/03/2020,-74,-26,-62,-74,-52,28
IT,Italy,Lombardy,,13/03/2020,-78,-27,-57,-76,-58,31
IT,Italy,Lombardy,,14/03/2020,-86,-46,-80,-80,-63,26
IT,Italy,Lombardy,,15/03/2020,-91,-58,-78,-83,-57,22
IT,Italy,Lombardy,,16/03/2020,-78,-35,-62,-79,-63,30
IT,Italy,Lombardy,,17/03/2020,-80,-39,-59,-80,-65,32
IT,Italy,Lombardy,,18/03/2020,-82,-42,-67,-81,-66,33
IT,Italy,Lombardy,,19/03/2020,-82,-43,-72,-82,-67,34
IT,Italy,Lombardy,,20/03/2020,-82,-40,-76,-82,-68,36
IT,Italy,Lombardy,,21/03/2020,-88,-55,-84,-83,-67,27
IT,Italy,Lombardy,,22/03/2020,-95,-80,-92,-89,-65,24
IT,Italy,Lombardy,,23/03/2020,-84,-47,-82,-86,-74,35
IT,Italy,Lombardy,,24/03/2020,-84,-48,-78,-85,-74,36
IT,Italy,Lombardy,,25/03/2020,-86,-50,-82,-86,-75,37
IT,Italy,Lombardy,,26/03/2020,-86,-51,-83,-86,-77,39
IT,Italy,Lombardy,,27/03/2020,-86,-47,-82,-86,-77,40
IT,Italy,Lombardy,,28/03/2020,-89,-59,-85,-85,-70,28
IT,Italy,Lombardy,,29/03/2020,-95,-81,-91,-89,-65,24
IT,Italy,Lombardy,,30/03/2020,-85,-48,-82,-85,-75,36
IT,Italy,Lombardy,,31/03/2020,-92,-42,-78,-84,-76,37
IT,Italy,Lombardy,,01/04/2020,-92,-40,-78,-84,-75,37
IT,Italy,Lombardy,,02/04/2020,-92,-40,-78,-84,-75,38
IT,Italy,Lombardy,,03/04/2020,-88,-39,-78,-84,-74,39
IT,Italy,Lombardy,,04/04/2020,-91,-53,-84,-84,-68,28
IT,Italy,Lombardy,,05/04/2020,-96,-77,-90,-88,-64,24
IT,Italy,Lombardy,,06/04/2020,-86,-39,-77,-83,-71,34
IT,Italy,Lombardy,,07/04/2020,-85,-39,-75,-83,-72,35
IT,Italy,Lombardy,,08/04/2020,-85,-37,-77,-83,-71,35
IT,Italy,Lombardy,,09/04/2020,-84,-33,-77,-83,-71,35
IT,Italy,Lombardy,,10/04/2020,-84,-29,-77,-82,-73,38
IT,Italy,Lombardy,,11/04/2020,-89,-47,-83,-82,-67,27
IT,Italy,Lombardy,,12/04/2020,-97,-95,-91,-90,-68,25
IT,Italy,Lombardy,,13/04/2020,-96,-84,-85,-92,-92,43
IT,Italy,Lombardy,,14/04/2020,-83,-40,-74,-82,-68,34
IT,Italy,Lombardy,,15/04/2020,-83,-38,-75,-82,-67,34
IT,Italy,Lombardy,,16/04/2020,-82,-38,-75,-82,-67,34
IT,Italy,Lombardy,,17/04/2020,-83,-36,-75,-82,-67,36
IT,Italy,Lombardy,,18/04/2020,-88,-55,-82,-81,-63,27
IT,Italy,Lombardy,,19/04/2020,-95,-79,-89,-87,-60,23
IT,Italy,Lombardy,,20/04/2020,-82,-52,-81,-83,-65,32
IT,Italy,Lombardy,,21/04/2020,-82,-49,-75,-82,-65,33
IT,Italy,Lombardy,,22/04/2020,-82,-46,-72,-80,-63,32
IT,Italy,Lombardy,,23/04/2020,-81,-45,-73,-80,-64,33
IT,Italy,Lombardy,,24/04/2020,-81,-39,-73,-80,-64,34
IT,Italy,Lombardy,,25/04/2020,-92,-69,-82,-84,-71,28
IT,Italy,Lombardy,,26/04/2020,-94,-74,-86,-85,-57,23
IT,Italy,Lombardy,,27/04/2020,-78,-42,-72,-79,-61,30
IT,Italy,Lombardy,,28/04/2020,-80,-46,-71,-80,-62,30
IT,Italy,Lombardy,,29/04/2020,-80,-42,-70,-79,-61,31
IT,Italy,Lombardy,,30/04/2020,-77,-34,-75,-79,-61,31
IT,Italy,Lombardy,,01/05/2020,-93,-83,-79,-89,-89,45
IT,Italy,Lombardy,,02/05/2020,-83,-45,-76,-77,-58,25
IT,Italy,Lombardy,,03/05/2020,-92,-66,-82,-82,-50,22
IT,Italy,Lombardy,,04/05/2020,-64,-31,-20,-65,-49,21
IT,Italy,Lombardy,,05/05/2020,-65,-31,-17,-66,-49,23
IT,Italy,Lombardy,,06/05/2020,-66,-32,-24,-66,-48,23
IT,Italy,Lombardy,,07/05/2020,-64,-31,-15,-65,-48,23
IT,Italy,Lombardy,,08/05/2020,-65,-28,-20,-65,-48,24
IT,Italy,Lombardy,,09/05/2020,-67,-35,-15,-57,-43,17
IT,Italy,Lombardy,,10/05/2020,-76,-56,-39,-64,-29,14
IT,Italy,Lombardy,,11/05/2020,-68,-42,-66,-72,-47,23
IT,Italy,Lombardy,,12/05/2020,-61,-28,-21,-64,-46,22
IT,Italy,Lombardy,,13/05/2020,-67,-34,-57,-69,-46,23
IT,Italy,Lombardy,,14/05/2020,-61,-27,-18,-63,-45,21
IT,Italy,Lombardy,,15/05/2020,-64,-29,-41,-66,-46,24
IT,Italy,Lombardy,,16/05/2020,-65,-34,-30,-58,-37,17
IT,Italy,Lombardy,,17/05/2020,-70,-51,-17,-58,-22,13
IT,Italy,Lombardy,,18/05/2020,-42,-24,9,-56,-40,17
IT,Italy,Lombardy,,19/05/2020,-46,-23,-23,-59,-41,19
IT,Italy,Lombardy,,20/05/2020,-41,-19,25,-53,-39,17
IT,Italy,Lombardy,,21/05/2020,-40,-18,19,-54,-41,17
IT,Italy,Lombardy,,22/05/2020,-41,-17,17,-54,-39,18
IT,Italy,Lombardy,,23/05/2020,-43,-23,15,-43,-26,11
IT,Italy,Lombardy,,24/05/2020,-43,-34,34,-40,-9,7
IT,Italy,Lombardy,,25/05/2020,-37,-22,24,-54,-39,15
